카드의정석 COOKIE CHECK,T,T,F,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,
네이버페이 우리카드 체크,T,T,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,
신한카드 Deep Dream 체크,T,T,F,F,T,T,T,F,F,T,T,F,F,F,F,T,F,F,F,
라이언 치즈 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,F,T,F,F,F,
노리체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
NH20해봄체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
카카오뱅크 프렌즈 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
카카오페이 신한 콘 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
카드의정석 CREAM TEENS CHECK,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
Liiv Mate 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
신한카드 Hey Young 체크,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
카카오페이 신한 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
go 캐시백 글로벌 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,F,
어피치 스윗 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,T,
위글위글 첵첵 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,T,
LoL CHAMPIONS KOREA 우리체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,T,
어디서나 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,T,
가온 올포인트 체크카드,T,T,F,T,T,T,T,T,T,T,T,F,F,F,T,T,T,F,T,
행복한 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,F,T,
펭수 노리 체크카드(펭카),T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,F,T,
카카오페이 KB국민 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,F,T,
네이버페이 신한카드 체크,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,F,T,
신한카드 Deep Dream 체크(미니언즈),T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,F,T,
알뜰교통카드 COOKIE CHECK,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,F,T,
카카오페이 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,F,T,
직장인보너스체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,T,T,
올바른POINT체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,T,T,
카드의정석 POINT CHECK,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,T,T,
썸타는 우리 체크,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,T,T,
DC줌체크카드(비씨),T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,T,T,
IBK 나라사랑카드,T,T,T,T,T,T,T,T,T,T,T,T,F,F,T,T,T,T,T,
그랑블루 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,
카카오뱅크 mini카드,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,
Deep On 체크,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,
케이뱅크X네이버페이 체크카드2,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,
young利한(영리한) 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,
BAZIC(베이직)체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,
포미 하이브리드 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,F,T,T,T,T,T,T,
청춘대로 싱글 체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
IBK무민카드(체크),T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
해피노리체크카드,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
Global Air 스카이패스 체크,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,
